STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4015
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,4,Dangerous or negligent acts ,Number,2108
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,5,Kidnapping and related offences ,Number,38
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,6,"Robbery, extortion and hijacking offences ",Number,133
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,7,Burglary and related offences ,Number,1545
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,8,Theft and related offences ,Number,5825
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,9,"Fraud, deception and related offences ",Number,1457
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,10,Controlled drug offences ,Number,3398
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,11,Weapons and explosives offences ,Number,509
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,12,Damage to property and to the environment  offences ,Number,3520
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,13,Public order and other social code offences ,Number,5541
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,15,"Offences against government, justice procedures and organisation of crime ",Number,1482
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,1,Homicide & related offences ,Number,16
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,2,Sexual offences ,Number,816
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4230
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,4,Dangerous or negligent acts ,Number,2138
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,5,Kidnapping and related offences ,Number,24
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,6,"Robbery, extortion and hijacking offences ",Number,213
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,7,Burglary and related offences ,Number,2400
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,8,Theft and related offences ,Number,9205
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,9,"Fraud, deception and related offences ",Number,1659
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,10,Controlled drug offences ,Number,4950
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,11,Weapons and explosives offences ,Number,605
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,12,Damage to property and to the environment  offences ,Number,4279
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,13,Public order and other social code offences ,Number,5190
RCD06C01,Recorded crime incidents,2020,2020,30,Eastern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2063
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,1,Homicide & related offences ,Number,20
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,2,Sexual offences ,Number,690
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4158
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,4,Dangerous or negligent acts ,Number,2067
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,5,Kidnapping and related offences ,Number,21
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,6,"Robbery, extortion and hijacking offences ",Number,201
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,7,Burglary and related offences ,Number,1797
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,8,Theft and related offences ,Number,8814
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,9,"Fraud, deception and related offences ",Number,1457
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,10,Controlled drug offences ,Number,5142
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,11,Weapons and explosives offences ,Number,621
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,12,Damage to property and to the environment  offences ,Number,3870
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,13,Public order and other social code offences ,Number,6810
RCD06C01,Recorded crime incidents,2020,2020,40,Southern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2313
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,1,Homicide & related offences ,Number,75
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,2,Sexual offences ,Number,3082
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,19077
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,4,Dangerous or negligent acts ,Number,8741
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,5,Kidnapping and related offences ,Number,136
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,6,"Robbery, extortion and hijacking offences ",Number,1819
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,7,Burglary and related offences ,Number,10886
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,8,Theft and related offences ,Number,51469
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,9,"Fraud, deception and related offences ",Number,7865
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,10,Controlled drug offences ,Number,23121
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,11,Weapons and explosives offences ,Number,3093
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,12,Damage to property and to the environment  offences ,Number,19519
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,13,Public order and other social code offences ,Number,29020
RCD06C01,Recorded crime incidents,2020,2020,IE0,State,15,"Offences against government, justice procedures and organisation of crime ",Number,11027
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,1,Homicide & related offences ,Number,21
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,2,Sexual offences ,Number,1074
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,6732
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,4,Dangerous or negligent acts ,Number,2137
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,5,Kidnapping and related offences ,Number,43
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences ",Number,1151
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,7,Burglary and related offences ,Number,3586
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,8,Theft and related offences ,Number,25216
